日期,時間,網格編號,年齡別,放大後人數
2023-03-05,8,1001,15-17歲,18.0
2023-03-05,8,1001,18-21歲,19.0
2023-03-05,8,1001,22-29歲,20.0
2023-03-05,8,1001,30-39歲,21.0
2023-03-05,8,1001,40-49歲,22.0
2023-03-05,8,1001,50-59歲,23.0
2023-03-05,8,1001,60-64歲,24.0
2023-03-05,8,1001,65歲以上,25.0
2023-03-05,9,1001,15-17歲,19.0
2023-03-05,9,1001,18-21歲,20.0
2023-03-05,9,1001,22-29歲,21.0
2023-03-05,9,1001,30-39歲,22.0
2023-03-05,9,1001,40-49歲,23.0
2023-03-05,9,1001,50-59歲,24.0
2023-03-05,9,1001,60-64歲,25.0
2023-03-05,9,1001,65歲以上,26.0
2023-03-05,18,1001,15-17歲,28.0
2023-03-05,18,1001,18-21歲,29.0
2023-03-05,18,1001,22-29歲,30.0
2023-03-05,18,1001,30-39歲,31.0
2023-03-05,18,1001,40-49歲,32.0
2023-03-05,18,1001,50-59歲,33.0
2023-03-05,18,1001,60-64歲,34.0
2023-03-05,18,1001,65歲以上,35.0
